	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
NAU110	0.168750758	0.240759241	0.184299471	0.173826174	0.124808552	0.20979021
NAU114	-0.161525441	0.774225774	-0.12382011	0.723276723	-0.091076511	0.72027972
NAU117	-0.05746371	0.605394605	0.00221035	0.470529471	0	0.46953047
NAU119	-0.26046858	0.903096903	-0.166765205	0.826173826	-0.108627933	0.797202797
NAU121	-0.190433408	0.875124875	-0.189762123	0.869130869	-0.141674573	0.892107892
NAU123	0.380787437	0.028971029	0.382645761	0.027972028	0.273229533	0.032967033
NAU124	-0.112893344	0.693306693	-0.082199905	0.642357642	-0.040478449	0.593406593
NAU129	0.096717975	0.327672328	0.159067222	0.207792208	0.118062144	0.178821179
NAU130	0.25032514	0.083916084	0.192861662	0.154845155	0.13961317	0.124875125
NAU132	-0.028370887	0.553446553	0.058268287	0.382617383	0.040478449	0.392607393
NAU133	0.299944681	0.145854146	0.316746574	0.115884116	0.22631158	0.14985015
NAU134	0.621750622	0.011988012	0.597420139	0.014985015	0.414904106	0.02997003
NAU136	-0.170021223	0.69030969	-0.185107214	0.68031968	-0.143748115	0.762237762
NAU137	0.419905514	0.052947053	0.231060483	0.200799201	0.14091897	0.251748252
NAU139	-0.062953761	0.64035964	-0.049904905	0.591408591	-0.045416332	0.631368631
NAU144	-0.103915946	0.7002997	-0.17634925	0.823176823	-0.139883263	0.831168831
NAU148	0.055270246	0.388611389	0.116839693	0.282717283	0.117155837	0.22977023
NAU149	-0.288962585	0.967032967	-0.307227069	0.984015984	-0.240538353	0.977022977
NAU150	-0.213468214	0.888111888	-0.144126404	0.778221778	-0.112699788	0.784215784
NAU153	0.060015315	0.33966034	0.118324521	0.246753247	0.087376305	0.233766234
NAU154	0.127126662	0.231768232	0.117316953	0.244755245	0.091076511	0.243756244
NAU155	0.259761467	0.115884116	0.245819337	0.114885115	0.17203341	0.10989011
NAU156	0.111687836	0.37962038	0.007908612	0.472527473	0.020348923	0.435564436
NAU157	0.271393658	0.053946054	0.28236708	0.055944056	0.195645839	0.07992008
NAU159	-0.163635647	0.776223776	-0.178186503	0.852147852	-0.13155496	0.823176823
NAU160	0.209235127	0.177822178	0.20841275	0.174825175	0.164818616	0.150849151
NAU161	0.073446404	0.383616384	0.126479766	0.253746254	0.034951974	0.414585415
NAU164	0.203026183	0.178821179	0.018609684	0.462537463	-0.005216405	0.516483516
NCS203	0.271534017	0.072927073	0.253226928	0.065934066	0.191587168	0.062937063
NCS204	0.365571253	0.007992008	0.375747704	0.013986014	0.285700163	0.010989011
NCS210	0.421374222	0.021978022	0.375206988	0.02997003	0.287734194	0.022977023
NCS212	0.31591569	0.053946054	0.309172769	0.065934066	0.226276405	0.057942058
NCS213	0.386703045	0.018981019	0.43358413	0.001998002	0.332095411	0.001998002
NCS214	-0.135525796	0.75024975	-0.132565572	0.784215784	-0.097486607	0.751248751
NCS233	0.080398403	0.310689311	0.117213983	0.274725275	0.089525288	0.278721279
NCS234	-0.168873287	0.835164835	-0.153313378	0.83016983	-0.110918887	0.855144855
NCS236	-0.216716734	0.924075924	-0.163967359	0.859140859	-0.117641244	0.85014985
NCS243	0.548991736	0.002997003	0.480692422	0.004995005	0.348166453	0.005994006
NCS248	0.142627704	0.226773227	0.131976437	0.250749251	0.091915944	0.248751249
NCS253	0.077921223	0.351648352	0.112776282	0.212787213	0.087390638	0.225774226
NCS255	0.053144433	0.355644356	0.104201127	0.246753247	0.063862389	0.281718282
NCS263	-0.025141556	0.496503497	-0.055176059	0.525474525	-0.050328203	0.573426573
