	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
NCS210	0.411243814	0.064935065	0.320500815	0.066933067	0.20951519	0.084915085
NCS212	0.19950192	0.207792208	0.268833873	0.113886114	0.203928118	0.085914086
NCS213	0.128839911	0.223776224	0.182182859	0.144855145	0.10694598	0.206793207
NCS214	0.781449928	0.000999001	0.769403524	0.000999001	0.630834475	0.000999001
NCS233	0.301106777	0.043956044	0.279602026	0.054945055	0.211754239	0.055944056
NCS234	-0.235339162	0.927072927	-0.239194856	0.968031968	-0.154614206	0.957042957
NCS237	-0.035573043	0.468531469	0.019640592	0.347652348	0.019920477	0.381618382
NCS243	0.27950582	0.082917083	0.26505728	0.085914086	0.181046556	0.096903097
NCS248	0.119641443	0.250749251	0.135253582	0.211788212	0.114280065	0.180819181
NCS253	0.789540667	0.001998002	0.827776242	0.000999001	0.645306784	0.002997003
NCS255	0.34199795	0.057942058	0.294324022	0.068931069	0.214470535	0.080919081
NCS263	0.186152011	0.18981019	0.172096755	0.200799201	0.120787688	0.222777223
