	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
NAU159	0.049216065	0.320679321	0.03731528	0.342657343	-0.013967679	0.457542458
NAU160	-0.07129582	0.569430569	-0.108905336	0.621378621	-0.086599612	0.654345654
NAU164	0.132762917	0.321678322	0.080420421	0.376623377	0.046947648	0.403596404
NCS203	-0.027298615	0.490509491	-0.011827371	0.470529471	-0.025231296	0.491508492
NCS204	-0.002070684	0.445554446	0.253226928	0.060939061	0.178142455	0.068931069
NCS212	0.21228379	0.173826174	0.198378953	0.170829171	0.153644472	0.155844156
NCS213	0.381560837	0.015984016	0.298469791	0.034965035	0.258921846	0.01998002
NCS214	-0.182118485	0.796203796	-0.20691022	0.849150849	-0.130853329	0.816183816
NCS233	0.389041586	0.05994006	0.383371311	0.066933067	0.274622653	0.065934066
NCS237	0.202150168	0.188811189	0.093620156	0.307692308	0.079681907	0.302697303
NCS248	-0.140182178	0.803196803	-0.190642726	0.893106893	-0.139471235	0.89010989
NCS253	-0.05831871	0.549450549	0.143958664	0.191808192	0.073945925	0.256743257
NCS255	-0.093002812	0.688311688	-0.059896159	0.606393606	-0.043695319	0.572427572
NCS263	0.047735356	0.345654346	0.027894006	0.424575425	0.025067985	0.40959041
