	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
NAU146	0.350159838	0.183816184	0.292033224	0.217782218	0.206896625	0.21978022
NAU147	-0.20254715	0.736263736	-0.110278867	0.636363636	-0.040262563	0.552447552
NAU148	0.36073386	0.06993007	0.410181901	0.038961039	0.312415566	0.028971029
NAU149	-0.199196221	0.812187812	-0.216254586	0.913086913	-0.159798206	0.918081918
NAU150	0.139429677	0.15984016	0.166999485	0.130869131	0.119428133	0.147852148
NAU153	0.041504168	0.333666334	0.146035182	0.237762238	0.098650667	0.267732268
NAU154	0.12031553	0.215784216	0.142289076	0.181818182	0.111315736	0.168831169
NAU155	0.324924985	0.041958042	0.403195738	0.023976024	0.273229533	0.02997003
NAU156	-0.212319655	0.734265734	-0.259007055	0.816183816	-0.19331477	0.823176823
NAU157	0.292535528	0.055944056	0.289260426	0.058941059	0.209138655	0.076923077
NAU159	-0.065681082	0.551448551	-0.077394655	0.601398601	-0.086599612	0.713286713
NAU160	-0.042962806	0.5004995	-0.060533677	0.535464535	-0.019554751	0.486513487
NAU164	0.01925916	0.448551449	0.023926737	0.458541459	-0.005216405	0.485514486
NCS203	0.48624953	0.043956044	0.433670277	0.036963037	0.297729289	0.048951049
NCS204	-0.240734508	0.969030969	-0.137722187	0.808191808	-0.124363601	0.871128871
NCS212	0.151987113	0.221778222	0.129029207	0.243756244	0.103360827	0.235764236
NCS213	0.012809016	0.381618382	-0.078078368	0.637362637	-0.045029886	0.584415584
NCS214	-0.081565694	0.601398601	-0.10969526	0.604395604	-0.080525126	0.643356643
NCS233	0.622445195	0.006993007	0.495433694	0.057942058	0.384471714	0.045954046
NCS237	0.351361017	0.08991009	0.36073221	0.063936064	0.268926437	0.071928072
NCS248	-0.087854087	0.617382617	-0.042549246	0.494505495	-0.044630795	0.539460539
NCS253	0.050232855	0.357642358	0.163707506	0.151848152	0.073945925	0.237762238
NCS255	-0.197728586	0.942057942	-0.134344096	0.792207792	-0.090751817	0.778221778
NCS263	-0.10467133	0.685314685	-0.169021104	0.826173826	-0.114198597	0.792207792
