	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
NCS204	0.229670798	0.091908092	0.143309031	0.172827173	0.094112995	0.207792208
NCS210	-0.058713224	0.4995005	0.062718694	0.313686314	0.036315966	0.356643357
NCS212	-0.126867246	0.646353646	-0.093939894	0.646353646	-0.069838397	0.649350649
NCS213	0.507609229	0.012987013	0.452688412	0.011988012	0.348981618	0.007992008
NCS214	0.265803127	0.083916084	0.229643399	0.120879121	0.144048817	0.167832168
NCS233	0.072867094	0.326673327	0.176310385	0.135864136	0.141169493	0.124875125
NCS234	-0.236313858	0.922077922	-0.177999431	0.887112887	-0.141169493	0.916083916
NCS237	0.02968938	0.295704296	0.045173362	0.307692308	0.069721669	0.266733267
NCS243	-0.301015682	0.974025974	-0.305091974	0.974025974	-0.208899872	0.97002997
NCS248	0.141036786	0.188811189	0.119662391	0.20979021	0.097474173	0.202797203
NCS253	0.591651554	0.011988012	0.612819661	0.012987013	0.444172202	0.017982018
NCS255	-0.129627122	0.706293706	-0.144124896	0.759240759	-0.097486607	0.731268731
NCS263	0.173954447	0.217782218	0.099842392	0.305694306	0.050328203	0.371628372
